,Intent_prob
212,0.30790537175343846
213,0.31715492107665844
214,0.3215856544893356
215,0.3280167690806747
216,0.32551535745816523
217,0.3270485891559796
218,0.3312924880038457
219,0.2036020711237422
220,0.32816191098633585
221,0.3283021197188138
222,0.3210544591401272
223,0.33907033673649456
224,0.3681142497341193
225,0.3586955962525731
226,0.205275398925853
227,0.3224406730349364
228,0.30576862128631194
229,0.2981957050069989
230,0.2768818896647536
231,0.2851882087350982
232,0.32459629011037305
233,0.3358186807088092
234,0.2263637367920164
235,0.21553334490613707
236,0.07571820899127168
237,0.06907269845696862
238,0.26064812819262484
239,0.09281467760070079
240,0.24569783612772514
241,0.2368572211414866
242,0.23016153156180535
243,0.2292780143264172
244,0.24282987218857646
245,0.23865735537351868
246,0.2308848203717196
247,0.2139033745134074
248,0.1738014165812009
249,0.1888216949670615
250,0.19401693416261667
251,0.2132459992205556
252,0.21306162740115925
253,0.23159414297893666
254,0.2162366097653402
255,0.20680513705570155
256,0.19748325200100592
257,0.1804410553618128
258,0.18169300251132914
259,0.19012355938167994
260,0.19520289647602546
261,0.19386457221058698
262,0.18207361759596355
263,0.18708180586509654
264,0.19739345850045142
265,0.05798827957177026
266,0.20765124629148254
267,0.10049467567813654
268,0.3062530715015719
269,0.3291272208152113
270,0.3306233627491597
271,0.3598802220850743
272,0.38361063811301255
273,0.37968311201426874
274,0.37978061065818236
275,0.3795119388476331
276,0.23142241266518257
277,0.3762740219324235
278,0.3735225751119968
279,0.37035334289310096
280,0.3781580960558817
281,0.37729830870921427
282,0.5117155630732544
283,0.5106932299097936
284,0.3933396426004731
285,0.3773404744387423
286,0.3786241764640242
287,0.3680585266502546
288,0.36909517541684217
289,0.3919425072371111
290,0.38943170519751014
291,0.36201889038277446
292,0.38344294518612987
293,0.3596459751102109
294,0.5072197498984861
295,0.5051111907424087
296,0.379200976574524
297,0.3619076139601386
298,0.495647151118463
299,0.34689716144543903
300,0.19276827527312979
301,0.3337751801344948
302,0.42619329476949874
303,0.6248710555131681
304,0.3867134234742971
305,0.569706027320753
306,0.5688358900068933
307,0.6047283059100488
308,0.598221619840641
309,0.5409222678135301
310,0.34087187471799396
311,0.34636574252210695
312,0.5356016042402129
313,0.5350581297857238
314,0.547115504504752
315,0.34077741776121717
316,0.5887573461446935
317,0.5974347046082963
318,0.5983051373879227
319,0.5962021962407262
320,0.3316630991323662
321,0.5383069008901901
322,0.5321580276681287
323,0.5309581100546308
324,0.5107628644842561
325,0.5322046015876409
326,0.5306571780780571
327,0.5397364788712687
